[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\template\utils.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\html\__init__.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\Documents\WebProjects\teratology\newcastle\urls.py first seen with mtime 1638705591.362169
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\forms\fields.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1625585962.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\uu.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\test\client.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\decimal.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\fractions.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\email\mime\__init__.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\importlib\util.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1625585962.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\email\message.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\hmac.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\whitenoise\string_utils.py first seen with mtime 1638885414.430906
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\email\mime\multipart.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\keyword.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\sqlite3\dbapi2.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\sre_parse.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\core\signing.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\operator.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\encodings\latin_1.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\logging\__init__.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1625585962.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\template\engine.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\test\html.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1602184477.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1625585962.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\site-packages\django\forms\forms.py first seen with mtime 1625585963.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\email\mime\base.py first seen with mtime 1630350135.0
[21/Dec/2021 17:04:39] DEBUG [django.utils.autoreload:379] File C:\Users\richa\anaconda3\envs\alpha_newcastle\Lib\unittest\main.py first seen with mtime 1630350135.0
